respondent_id,h1n1_vaccine,seasonal_vaccine,xyz_vaccine
26707,0.5,0.2511101,0.088576285
26708,0.5,0.048509974,0.051700792
26709,0.5,0.63763336,0.480384253
26710,0.5,0.882045378,0.510278203
26711,0.5,0.450843908,0.168283657
26712,0.5,0.91438393,0.440984446
26713,0.5,0.615801665,0.363725892
26714,0.5,0.210347878,0.14215077
26715,0.5,0.145992497,0.038275599
26716,0.5,0.895583848,0.230731911
26717,0.5,0.339479995,0.015762152
26718,0.5,0.487366707,0.211312783
26719,0.5,0.909940745,0.074763141
26720,0.5,0.166380383,0.087784347
26721,0.5,0.5051437,0.436634651
26722,0.5,0.072273669,0.050515813
26723,0.5,0.871162374,0.686686442
26724,0.5,0.640916664,0.122789149
26725,0.5,0.091423052,0.037867402
26726,0.5,0.028363276,0.010518908
26727,0.5,0.83953585,0.346886356
26728,0.5,0.537966317,0.203996164
26729,0.5,0.333327869,0.0721822
26730,0.5,0.169051082,0.030239664
26731,0.5,0.344969169,0.022178183
26732,0.5,0.072284182,0.083991636
26733,0.5,0.956372413,0.919883101
26734,0.5,0.391809697,0.852473929
26735,0.5,0.440793849,0.129419314
26736,0.5,0.16736198,0.08033317
26737,0.5,0.084891478,0.080694752
26738,0.5,0.861423781,0.664738327
26739,0.5,0.232595121,0.09595549
26740,0.5,0.136304344,0.168608199
26741,0.5,0.910485468,0.198640216
26742,0.5,0.422935216,0.155274685
26743,0.5,0.483804057,0.041622364
26744,0.5,0.577385029,0.047657147
26745,0.5,0.935698537,0.123518882
26746,0.5,0.28584983,0.095535092
26747,0.5,0.25076211,0.097651014
26748,0.5,0.075741776,0.124405491
26749,0.5,0.689157489,0.067388404
26750,0.5,0.932648549,0.672602382
26751,0.5,0.688186371,0.264400334
26752,0.5,0.01614901,0.019775426
26753,0.5,0.67810138,0.214514405
26754,0.5,0.57308786,0.116101486
26755,0.5,0.353600362,0.088403851
26756,0.5,0.033294568,0.016859566
26757,0.5,0.554484273,0.498241742
26758,0.5,0.853362852,0.635154904
26759,0.5,0.203169811,0.035544492
26760,0.5,0.026084936,0.012850953
26761,0.5,0.623401747,0.160398188
26762,0.5,0.855591162,0.159559419
26763,0.5,0.972243752,0.904352451
26764,0.5,0.960232915,0.92229445
26765,0.5,0.71280511,0.030062411
26766,0.5,0.176125134,0.165835149
26767,0.5,0.727972429,0.79699001
26768,0.5,0.414188252,0.010610103
26769,0.5,0.1754065,0.1445481
26770,0.5,0.661983409,0.121937901
26771,0.5,0.236035919,0.073192743
26772,0.5,0.385241586,0.088625033
26773,0.5,0.389354819,0.011261766
26774,0.5,0.475102377,0.031738159
26775,0.5,0.490241518,0.109570408
26776,0.5,0.283464697,0.315614677
26777,0.5,0.930265936,0.137022285
26778,0.5,0.173142735,0.147149974
26779,0.5,0.557223229,0.110600411
26780,0.5,0.957020104,0.14781227
26781,0.5,0.498867506,0.043665079
26782,0.5,0.267450699,0.039077083
26783,0.5,0.395317317,0.079881723
26784,0.5,0.854078866,0.375267823
26785,0.5,0.558400174,0.339302529
26786,0.5,0.276691051,0.125109759
26787,0.5,0.513242561,0.100675137
26788,0.5,0.95053835,0.137390862
26789,0.5,0.251973109,0.01046039
26790,0.5,0.329766387,0.06841659
26791,0.5,0.189643521,0.096195639
26792,0.5,0.737446399,0.197633867
26793,0.5,0.906013365,0.125388226
26794,0.5,0.898211584,0.78971783
26795,0.5,0.934269153,0.037463695
26796,0.5,0.063928803,0.060135252
26797,0.5,0.598054828,0.100823324
26798,0.5,0.185533291,0.164196664
26799,0.5,0.179566834,0.222766942
26800,0.5,0.913018208,0.032298703
26801,0.5,0.368248839,0.234270316
26802,0.5,0.1938514,0.115428468
26803,0.5,0.158574378,0.052835318
26804,0.5,0.199266777,0.080104473
26805,0.5,0.268785584,0.089660685
26806,0.5,0.917971998,0.082885373
26807,0.5,0.962052567,0.711031432
26808,0.5,0.53063295,0.202558886
26809,0.5,0.184687295,0.700781442
26810,0.5,0.131378618,0.044152634
26811,0.5,0.056529345,0.045632671
26812,0.5,0.691351475,0.139977012
26813,0.5,0.341259071,0.355855322
26814,0.5,0.515134044,0.033518928
26815,0.5,0.133651721,0.052741272
26816,0.5,0.170471698,0.041501408
26817,0.5,0.769602054,0.173930684
26818,0.5,0.258596754,0.079141296
26819,0.5,0.412995085,0.363935742
26820,0.5,0.275884801,0.077453801
26821,0.5,0.482794085,0.112175788
26822,0.5,0.62264543,0.294283801
26823,0.5,0.582426721,0.51157598
26824,0.5,0.686556034,0.033743608
26825,0.5,0.824188906,0.413379415
26826,0.5,0.753773185,0.090089248
26827,0.5,0.176054479,0.062123171
26828,0.5,0.664566157,0.148362123
26829,0.5,0.932248595,0.634283027
26830,0.5,0.782964111,0.087087903
26831,0.5,0.827043403,0.197765619
26832,0.5,0.873500365,0.140762727
26833,0.5,0.285276525,0.004781031
26834,0.5,0.402352643,0.088944846
26835,0.5,0.902361932,0.395258019
26836,0.5,0.63357929,0.163837112
26837,0.5,0.011272839,0.029425905
26838,0.5,0.467232114,0.099592043
26839,0.5,0.504471077,0.133277082
26840,0.5,0.125884137,0.090399199
26841,0.5,0.775431936,0.330483488
26842,0.5,0.198676933,0.069518007
26843,0.5,0.014002156,0.034536454
26844,0.5,0.443642507,0.050657822
26845,0.5,0.6791449,0.045411083
26846,0.5,0.747301907,0.068508766
26847,0.5,0.084678662,0.319245698
26848,0.5,0.66273434,0.043729452
26849,0.5,0.574597259,0.135137583
26850,0.5,0.74786371,0.608920545
26851,0.5,0.077008849,0.041898856
26852,0.5,0.12117297,0.045646623
26853,0.5,0.524891279,0.492563186
26854,0.5,0.080194093,0.015192683
26855,0.5,0.861242162,0.581935751
26856,0.5,0.024309075,0.100478953
26857,0.5,0.17994742,0.422277038
26858,0.5,0.596353024,0.121600659
26859,0.5,0.154813379,0.085567946
26860,0.5,0.093789018,0.124996848
26861,0.5,0.057668087,0.062151421
26862,0.5,0.332623046,0.128866961
26863,0.5,0.404295879,0.208649796
26864,0.5,0.369535451,0.479540349
26865,0.5,0.044701252,0.013652186
26866,0.5,0.667324282,0.224262459
26867,0.5,0.15187107,0.100993529
26868,0.5,0.945506048,0.791404389
26869,0.5,0.258695809,0.091625815
26870,0.5,0.873993565,0.631709164
26871,0.5,0.04869231,0.063795453
26872,0.5,0.45357581,0.057845493
26873,0.5,0.832307317,0.113546759
26874,0.5,0.127398586,0.042984293
26875,0.5,0.928514883,0.656074035
26876,0.5,0.042071551,0.038821932
26877,0.5,0.143419349,0.060873974
26878,0.5,0.289518896,0.179040646
26879,0.5,0.016616694,0.010582974
26880,0.5,0.113878461,0.042563319
26881,0.5,0.067851548,0.023827751
26882,0.5,0.087798874,0.026301923
26883,0.5,0.218342112,0.053520712
26884,0.5,0.17404367,0.064200933
26885,0.5,0.811025856,0.208959119
26886,0.5,0.772055769,0.100063582
26887,0.5,0.900330404,0.63639776
26888,0.5,0.947761092,0.870012596
26889,0.5,0.122233516,0.043728869
26890,0.5,0.399188765,0.106100099
26891,0.5,0.595099691,0.343322034
26892,0.5,0.866525842,0.15164879
26893,0.5,0.21564484,0.06592975
26894,0.5,0.305689009,0.182755416
26895,0.5,0.855640854,0.081014443
26896,0.5,0.106781944,0.069883107
26897,0.5,0.367198799,0.0547136
26898,0.5,0.677433962,0.235373597
26899,0.5,0.087158031,0.062751056
26900,0.5,0.283629919,0.105278043
26901,0.5,0.277512661,0.00831074
26902,0.5,0.927622024,0.203172097
26903,0.5,0.07333183,0.191944255
26904,0.5,0.308068393,0.040340005
26905,0.5,0.800120652,0.376535537
26906,0.5,0.353664959,0.067943963
26907,0.5,0.616167761,0.015026509
26908,0.5,0.732212012,0.135877012
26909,0.5,0.256328966,0.076445672
26910,0.5,0.191525739,0.088714059
26911,0.5,0.087008594,0.046647864
26912,0.5,0.95959225,0.510062575
26913,0.5,0.886319639,0.788079489
26914,0.5,0.209789193,0.080998431
26915,0.5,0.663192165,0.124684208
26916,0.5,0.345132889,0.079841132
26917,0.5,0.016502922,0.006025773
26918,0.5,0.910398454,0.741688385
26919,0.5,0.602294156,0.319959487
26920,0.5,0.144927926,0.030485065
26921,0.5,0.853793152,0.121542967
26922,0.5,0.657012784,0.057315172
26923,0.5,0.5437539,0.108390568
26924,0.5,0.871967758,0.613764121
26925,0.5,0.592872034,0.119719715
26926,0.5,0.496749516,0.625229494
26927,0.5,0.592202262,0.273451237
26928,0.5,0.505640262,0.050386355
26929,0.5,0.160525734,0.085272256
26930,0.5,0.914804537,0.688575822
26931,0.5,0.428190379,0.120114484
26932,0.5,0.879070062,0.064336016
26933,0.5,0.76265902,0.096631369
26934,0.5,0.640513605,0.495333354
26935,0.5,0.444975555,0.142086227
26936,0.5,0.305433684,0.491521123
26937,0.5,0.765216129,0.295636241
26938,0.5,0.062233948,0.088469846
26939,0.5,0.035933069,0.030349002
26940,0.5,0.140664619,0.067698624
26941,0.5,0.455003412,0.05294743
26942,0.5,0.752440559,0.548164298
26943,0.5,0.651031044,0.130157517
26944,0.5,0.154181593,0.068943338
26945,0.5,0.610947441,0.122907805
26946,0.5,0.732525109,0.139466666
26947,0.5,0.576474371,0.147461211
26948,0.5,0.057005307,0.013473802
26949,0.5,0.069922543,0.025135747
26950,0.5,0.48442651,0.033022307
26951,0.5,0.32044075,0.072645774
26952,0.5,0.941573687,0.830504082
26953,0.5,0.975451149,0.791779301
26954,0.5,0.194433149,0.057970859
26955,0.5,0.610169853,0.18226102
26956,0.5,0.23400036,0.098526149
26957,0.5,0.903508691,0.028958061
26958,0.5,0.717090942,0.272926487
26959,0.5,0.187374013,0.042240366
26960,0.5,0.04831616,0.037165926
26961,0.5,0.550119393,0.218641091
26962,0.5,0.911771882,0.157220118
26963,0.5,0.303515173,0.155645927
26964,0.5,0.293624249,0.112255135
26965,0.5,0.944264582,0.811516139
26966,0.5,0.027713413,0.013044232
26967,0.5,0.405934022,0.133097109
26968,0.5,0.821055817,0.045067649
26969,0.5,0.228545463,0.040513826
26970,0.5,0.335505919,0.667060687
26971,0.5,0.335185582,0.100131694
26972,0.5,0.025787812,0.006463537
26973,0.5,0.125481824,0.055007896
26974,0.5,0.323094626,0.093338531
26975,0.5,0.640481652,0.076675605
26976,0.5,0.563432651,0.86673755
26977,0.5,0.307429472,0.056404733
26978,0.5,0.807489328,0.029227858
26979,0.5,0.649384898,0.275568243
26980,0.5,0.103967926,0.046539368
26981,0.5,0.249640782,0.054532717
26982,0.5,0.867499425,0.71423233
26983,0.5,0.619483026,0.180803856
26984,0.5,0.153883125,0.095587496
26985,0.5,0.082914848,0.01955309
26986,0.5,0.59032119,0.204196293
26987,0.5,0.180288365,0.059817816
26988,0.5,0.118751006,0.042354307
26989,0.5,0.763996153,0.319383225
26990,0.5,0.063235434,0.014358691
26991,0.5,0.527975527,0.297921838
26992,0.5,0.419165005,0.283894666
26993,0.5,0.857694199,0.147880957
26994,0.5,0.382161158,0.172623102
26995,0.5,0.399241737,0.142408847
26996,0.5,0.350669502,0.24336368
26997,0.5,0.056178916,0.015754193
26998,0.5,0.074347349,0.053265828
26999,0.5,0.510820875,0.365383045
27000,0.5,0.397071784,0.123782143
27001,0.5,0.801711696,0.047563857
27002,0.5,0.237498128,0.012217018
27003,0.5,0.052684803,0.022571203
27004,0.5,0.251007358,0.094047418
27005,0.5,0.744681501,0.325272871
27006,0.5,0.922266824,0.806555353
27007,0.5,0.18720104,0.065294784
27008,0.5,0.05868979,0.046358257
27009,0.5,0.242723818,0.05048654
27010,0.5,0.200029114,0.111038326
27011,0.5,0.147163601,0.080884661
27012,0.5,0.581699682,0.294407544
27013,0.5,0.427076806,0.102909538
27014,0.5,0.257545556,0.031168247
27015,0.5,0.165999046,0.065528824
27016,0.5,0.412910071,0.176297933
27017,0.5,0.730377267,0.471014656
27018,0.5,0.300380675,0.08723178
27019,0.5,0.964587669,0.906097958
27020,0.5,0.236470121,0.192025332
27021,0.5,0.473713103,0.124013942
27022,0.5,0.311733161,0.176142567
27023,0.5,0.183892065,0.162347938
27024,0.5,0.273089924,0.090611512
27025,0.5,0.019374086,0.045579943
27026,0.5,0.372036844,0.097697971
27027,0.5,0.764284645,0.099605124
27028,0.5,0.8728576,0.368749171
27029,0.5,0.303206309,0.074630467
27030,0.5,0.191329631,0.117609361
27031,0.5,0.826123689,0.231510901
27032,0.5,0.462707534,0.153419556
27033,0.5,0.740170579,0.325168065
27034,0.5,0.655435404,0.008565572
27035,0.5,0.276819504,0.142168685
27036,0.5,0.684689561,0.209209868
27037,0.5,0.773438379,0.591601197
27038,0.5,0.03262198,0.044555013
27039,0.5,0.929138477,0.758941131
27040,0.5,0.164085037,0.169290761
27041,0.5,0.578819755,0.150732782
27042,0.5,0.509495082,0.067281552
27043,0.5,0.79447523,0.560220098
27044,0.5,0.037124818,0.009506634
27045,0.5,0.661414968,0.18652832
27046,0.5,0.122131258,0.068233459
27047,0.5,0.398529847,0.494313202
27048,0.5,0.333424647,0.13554849
27049,0.5,0.896078511,0.256273111
27050,0.5,0.5603786,0.046302119
